Ectopic_Pregnancy	Ectopic Pregnancy (PEDS)	Abnormal_Pregnancy
Phenylketonuria	Phenylketonuria (PEDS+NRNT)	Amino_Acid_Metabolism_Disorder
Type_I_Tyrosinemia	Tyrosinemia Type I (NRNT)	Amino_Acid_Metabolism_Disorder
Body_Part	Body Part (PEDS+NRNT)	Anatomic_Structure_System_or_Substance
Embryologic_Structure_or_System	Embryonic Structure or System (PEDS)	Anatomic_Structure_System_or_Substance
Acquired_Methemoglobinemia	Acquired Methemoglobinemia (NRNT)	Anemia
Congenital_Methemoglobinemia	Congenital Methemoglobinemia (NRNT)	Anemia
Hemolytic_Anemia	Hemolytic Anemia (PEDS+NRNT)	Anemia
General_Anesthesia_Procedure	General Anesthesia Procedure (PEDS)	Anesthesia_Procedure
Local_Anesthesia_Procedure	Local Anesthesia Procedure (PEDS)	Anesthesia_Procedure
Regional_Anesthesia_Procedure	Regional Anesthesia Procedure (PEDS)	Anesthesia_Procedure
Aortic_Aneurysm	Aortic Aneurysm (NRNT)	Aneurysm
Intracranial_Aneurysm	Intracranial Aneurysm (NRNT)	Aneurysm
Bilateral_Anophthalmos	Anophthalmos, Bilateral (NRNT)	Anophthalmos
Unilateral_Anophthalmos	Anophthalmos, Unilateral (NRNT)	Anophthalmos
Left_Occiput_Anterior_Presentation	Left Occiput Anterior (PEDS)	Anterior_Occiput_Presentation
Right_Occiput_Anterior_Presentation	Right Occiput Anterior (PEDS)	Anterior_Occiput_Presentation
Acute_Stress_Disorder	Acute Stress Disorder (PEDS)	Anxiety_Disorder
Agoraphobia	Agoraphobia (PEDS)	Anxiety_Disorder
Generalized_Anxiety_Disorder	Generalized Anxiety Disorder (PEDS)	Anxiety_Disorder
Obsessive_Compulsive_Disorder	Obsessive-Compulsive Disorder (PEDS)	Anxiety_Disorder
Panic_Disorder_with_Agoraphobia	Panic Disorder with Agoraphobia (PEDS)	Anxiety_Disorder
Panic_Disorder_without_Agoraphobia	Panic Disorder without Agoraphobia (PEDS)	Anxiety_Disorder
Post-Traumatic_Stress_Disorder	Post-Traumatic Stress Disorder (PEDS)	Anxiety_Disorder
Selective_Mutism	Selective Mutism (PEDS)	Anxiety_Disorder
Social_Phobia	Social Anxiety Disorder (PEDS)	Anxiety_Disorder
Specific_Phobia	Specific Phobia (PEDS)	Anxiety_Disorder
Supravalvular_Aortic_Stenosis	Supravalvar Aortic Stenosis (NRNT)	Aortic_Stenosis
Aortic_Stenosis	Aortic Valve Stenosis (NRNT)	Aortic_Valve_Disorder
APGAR_Score_at_One_Minute	Apgar Score At 1 Minute (NRNT)	Apgar_Score
APGAR_Score_at_Ten_Minutes	Apgar Score At 10 Minutes (NRNT)	Apgar_Score
APGAR_Score_at_Fifteen_Minutes	Apgar Score At 15 Minutes (NRNT)	Apgar_Score
APGAR_Score_at_Twenty_Minutes	Apgar Score At 20 Minutes (NRNT)	Apgar_Score
APGAR_Score_at_Five_Minutes	Apgar Score At 5 Minutes (NRNT)	Apgar_Score
Complete_Heart_Block	Complete Atrioventricular Block (NRNT)	Arrhythmia
Supraventricular_Arrhythmia	Supraventricular Arrhythmia (NRNT)	Arrhythmia
Tachycardia	Tachyarrhythmia (NRNT)	Arrhythmia
Ventricular_Arrhythmia	Ventricular Arrhythmia (NRNT)	Arrhythmia
Arterial_Thrombosis_due_to_Vascular_Access_Complication	Acquired Secondary Arterial Thrombosis due to Catheter Complication (NRNT)	Arterial_Thrombosis
Freeman_Sheldon_Syndrome	Freeman-Sheldon Syndrome (NRNT)	Arthrogryposis
Assessment_of_Fetal_Attitude	Assessment of Fetal Attitude (PEDS)	Assessment_of_Fetal_Condition
Assessment_of_Fetal_Heart_Condition	Assessment of Fetal Heart Condition (PEDS)	Assessment_of_Fetal_Condition
Assessment_of_Fetal_Presentation	Assessment of Fetal Presentation (PEDS)	Assessment_of_Fetal_Condition
Birth_Partner_Coached_Method_of_Delivery	Bradley Method (PEDS)	Assisted_Labor
Hypnobirthing	Hypnobirthing (PEDS)	Assisted_Labor
Induction_of_Labor	Induction of Labor (PEDS)	Assisted_Labor
Ty21a_Typhoid_Vaccine	Ty21a Typhoid Vaccine (PEDS)	Attenuated_Bacteria
Attenuated_Bacteria	Attenuated Live Bacterial Vaccine (PEDS)	Attenuated_Live_Vaccine
Attenuated_Live_Virus_Vaccine	Attenuated Live Virus Vaccine (PEDS)	Attenuated_Live_Vaccine
Live_Attenuated_Influenza_Vaccine	Live Attenuated Influenza Vaccine (PEDS)	Attenuated_Live_Virus_Vaccine
Measles_Mumps_Rubella_Vaccine	Measles Mumps Rubella Vaccine (PEDS)	Attenuated_Live_Virus_Vaccine
Oral_Polio_Vaccine	Oral Polio Vaccine (PEDS)	Attenuated_Live_Virus_Vaccine
Rotavirus_Vaccine	Rotavirus Vaccine (PEDS)	Attenuated_Live_Virus_Vaccine
Varicella_Vaccine	Varicella Vaccine (PEDS)	Attenuated_Live_Virus_Vaccine
Yellow_Fever_Vaccine	Yellow Fever Vaccine (PEDS)	Attenuated_Live_Virus_Vaccine
Asperger_Syndrome	Asperger Syndrome (PEDS)	Autism_Spectrum_Disorder
Autism	Autism (PEDS)	Autism_Spectrum_Disorder
Antiphospholipid_Syndrome	Lupus Anticoagulant Disorder (NRNT)	Autoimmune_Disease
Lupus_Erythematosus	Lupus Erythematosus (NRNT)	Autoimmune_Disease
Myasthenia_Gravis	Myasthenia Gravis (NRNT)	Autoimmune_Disease
Acrocephalosyndactyly	Acrocephalosyndactyly (PEDS)	Autosomal_Dominant_Inherited_Disorder
Freeman_Sheldon_Syndrome	Freeman-Sheldon Syndrome (NRNT)	Autosomal_Dominant_Inherited_Disorder
Marfan_s_Syndrome	Marfan's Syndrome (NRNT)	Autosomal_Dominant_Inherited_Disorder
Melnick-Fraser_Syndrome	Melnick-Fraser Syndrome (NRNT)	Autosomal_Dominant_Inherited_Disorder
Noonan_Syndrome	Noonan's Syndrome (NRNT)	Autosomal_Dominant_Inherited_Disorder
Five_Alpha_Steroid_Reductase_2_Deficiency	3-Oxo-5 Alpha-Steroid Delta 4-Dehydrogenase Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Methylenetetrahydrofolate_Reductase_Deficiency	5,10-Methylenetetrahydrofolate Reductase Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Alpha-1_Antitrypsin_Deficiency	Alpha-1-Antitrypsin Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Argininosuccinic_Aciduria	Argininosuccinate Lyase Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Biotinidase_Deficiency	Biotinidase Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
HMG-CoA_Lyase_Deficiency	Deficiency of Hydroxymethylglutaryl-Coa Lyase (NRNT)	Autosomal_Recessive_Inherited_Disorder
Hereditary_Fructose_Intolerance	Fructose-1,6-Bisphosphate Aldolase B Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Fryns_Syndrome	Fryns Syndrome (NRNT)	Autosomal_Recessive_Inherited_Disorder
Fucosidosis	Fucosidosis (NRNT)	Autosomal_Recessive_Inherited_Disorder
Hereditary_Factor_X_Deficiency	Hereditary Factor X Deficiency Disease (NRNT)	Autosomal_Recessive_Inherited_Disorder
Factor_XI_Deficiency	Hereditary Factor XI Deficiency Disease (NRNT)	Autosomal_Recessive_Inherited_Disorder
Factor_XII_Deficiency	Hereditary Factor XII Deficiency Disease (NRNT)	Autosomal_Recessive_Inherited_Disorder
Hereditary_Orotic_Aciduria	Hereditary Orotic Aciduria (NRNT)	Autosomal_Recessive_Inherited_Disorder
Isovaleric_Acidemia	Isovaleryl-Coa Dehydrogenase Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Mannosidosis	Mannosidosis (NRNT)	Autosomal_Recessive_Inherited_Disorder
Maple_Syrup_Urine_Disease	Maple Syrup Urine Disease (NRNT)	Autosomal_Recessive_Inherited_Disorder
Acyl-CoA_Dehydrogenase_Medium-Chain_Deficiency	Medium-Chain Acyl-CoA Dehydrogenase Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Three-Methylcrotonyl-CoA_Carboxylase_Deficiency	Methylcrotonyl-Coa Carboxylase Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Phenylketonuria	Phenylketonuria (PEDS+NRNT)	Autosomal_Recessive_Inherited_Disorder
Phosphoenolpyruvate_Carboxykinase_Deficiency	Phosphoenolpyruvate Carboxykinase (GTP) Deficiency (NRNT)	Autosomal_Recessive_Inherited_Disorder
Autosomal_Recessive_Polycystic_Kidney_Disease	Polycystic Kidney Disease, Infantile Type (NRNT)	Autosomal_Recessive_Inherited_Disorder
Propionic_Acidemia	Propionic Acidemia (NRNT)	Autosomal_Recessive_Inherited_Disorder
Niemann-Pick_Disease	Sphingomyelin/Cholesterol Lipidosis (NRNT)	Autosomal_Recessive_Inherited_Disorder
Walker-Warburg_Syndrome	Walker-Warburg Muscular Dystrophy (NRNT)	Autosomal_Recessive_Inherited_Disorder
Wolman_Disease	Wolman's Disease (NRNT)	Autosomal_Recessive_Inherited_Disorder
Zellweger_Syndrome	Zellweger Syndrome (NRNT)	Autosomal_Recessive_Inherited_Disorder
Bordetella_pertussis	Bordetella pertussis (PEDS)	Bacteria
Neisseria_meningitidis	Neisseria meningitidis (PEDS)	Bacteria
Cellulitis	Cellulitis (NRNT)	Bacterial_Infection
Diphtheria	Diphtheria (PEDS)	Bacterial_Infection
Group_B_Streptococcal_Infection	Group B Streptococcal Infection (PEDS)	Bacterial_Infection
Pyelonephritis	Pyelonephritis (PEDS)	Bacterial_Infection
Septicemia	Sepsis (PEDS+NRNT)	Bacterial_Infection
Tetanus	Tetanus (PEDS)	Bacterial_Infection
Typhoid_Fever	Typhoid Fever (PEDS)	Bacterial_Infection
Behavior_during_Childhood	Child Behavior (PEDS)	Behavior
Infant_Reflex	Infant Reflex (PEDS)	Behavior_during_Childhood
Attention_Deficit_Hyperactivity_Disorder	Attention Deficit Hyperactivity Disorder (PEDS)	Behavior-Related_Disorder
Conduct_Disorder	Conduct Disorder (PEDS)	Behavior-Related_Disorder
Congenital_Bilateral_Cataracts	Congenital Bilateral Cataracts (NRNT)	Bilateral_Cataracts
Vaccine	Vaccine (PEDS)	Biological_Agent
Caput_Succedaneum	Caput Succedaneum (PEDS)	Birth_Complication
Cephalhematoma	Cephalhematoma (PEDS+NRNT)	Birth_Complication
Cephalo-Pelvic_Disproportion	Cephalo-Pelvic Disproportion (PEDS)	Birth_Complication
Fetal_Distress	Fetal Distress (PEDS)	Birth_Complication
Fetal_Hypoxia	Fetal Hypoxia (PEDS+NRNT)	Birth_Complication
Hypoxia	Hypoxia (PEDS+NRNT)	Birth_Complication
Fetal_Malpresentation	Malpresentation of Fetus (PEDS)	Birth_Complication
Shoulder_Dystocia	Shoulder Dystocia (PEDS)	Birth_Complication
Umbilical_Cord_Compression	Umbilical Cord Compression (PEDS)	Birth_Complication
Umbilical_Cord_Prolapse	Umbilical Cord Prolapse (PEDS)	Birth_Complication
Vasa_Previa	Vasa Previa (PEDS)	Birth_Complication
Caesarian_Section	Caesarian Section (PEDS)	Birth_Method_of_Delivery
External_Fetal_Rotation	External Fetal Rotation (PEDS)	Birth_Method_of_Delivery
Vaginal_Delivery	Vaginal Delivery (PEDS)	Birth_Method_of_Delivery
Low_Birth_Weight	Low Birth Weight (PEDS)	Birth_Weight_New
Blood_Cell_Count	Blood Cell Count (PEDS)	Blood_Chemistry_Study
Blood_Glucose_Measurement	Blood Glucose Measurement (PEDS+NRNT)	Blood_Chemistry_Study
Blood_Type_Determination	Blood Group Antibody Titer Measurement (NRNT)	Blood_Chemistry_Study
Blood_Protein_Measurement	Blood Test for Protein Level (PEDS)	Blood_Chemistry_Study
Hemoglobin_Measurement	Hemoglobin Measurement (PEDS+NRNT)	Blood_Chemistry_Study
Amino_Acid_Measurement	Measurement of Amino Acid (NRNT)	Blood_Chemistry_Study
TORCH_Antibody_Measurement	Toxoplasmosis, Other Infections, Rubella, Cytomegalovirus, and Herpes Simplex Virus (Torch) Antibody Panel Measurement (NRNT)	Blood_Chemistry_Study
Alpha-fetoprotein_Measurement	Alpha-fetoprotein Measurement (PEDS+NRNT)	Blood_Protein_Measurement
Pappalysin-1	Pregnancy Associated Plasma Protein A (PEDS)	Blood_Protein_Measurement
Rh_Factor_Measurement	Rh factor Measurement (PEDS)	Blood_Type_Determination
Rh_Titer_Measurement	Rhesus Antibody Titer Measurement (NRNT)	Blood_Type_Determination
Amniotic_Fluid	Amniotic Fluid (PEDS)	Body_Fluid_or_Substance
Bilirubin	Bilirubin (PEDS)	Body_Fluid_or_Substance
Breast_Milk	Breast Milk (PEDS)	Body_Fluid_or_Substance
Colostrum	Colostrum (PEDS)	Body_Fluid_or_Substance
Meconium	Meconium (PEDS+NRNT)	Body_Fluid_or_Substance
Mucous_Connective_Tissue	Mucous Connective Tissue (PEDS)	Body_Fluid_or_Substance
Cervical_Mucus_Plug	Mucus Plug (PEDS)	Body_Fluid_or_Substance
Oxytocin	Oxytocin (PEDS)	Body_Fluid_or_Substance
Prolactin	Prolactin (PEDS)	Body_Fluid_or_Substance
Vernix_Caseosa	Vernix Caseosa (PEDS)	Body_Fluid_or_Substance
Abdominal_Cavity	Abdomen (PEDS+NRNT)	Body_Part
Ankle_Joint	Ankle Joint (PEDS)	Body_Part
Arm	Arm (PEDS)	Body_Part
Skull	Cranial Cavity Structure (NRNT)	Body_Part
Ear	Ear (PEDS)	Body_Part
Elbow_Joint	Elbow Joint (PEDS)	Body_Part
Eye	Eye (PEDS)	Body_Part
Foot	Foot (PEDS)	Body_Part
Frenulum	Frenulum (PEDS)	Body_Part
Genitalia	Genitalia (PEDS)	Body_Part
Hand	Hand (PEDS)	Body_Part
Head	Head (PEDS)	Body_Part
Internal_Nare	Internal Nare (PEDS)	Body_Part
Ischium	Ischium (PEDS)	Body_Part
Knee_Joint	Knee Joint (PEDS)	Body_Part
Leg	Leg (PEDS)	Body_Part
Lip	Lip (PEDS)	Body_Part
Neck	Neck (PEDS)	Body_Part
Nose	Nose (PEDS)	Body_Part
Oral_Cavity	Oral Cavity (PEDS)	Body_Part
Rectum	Rectum (PEDS)	Body_Part
Shoulder	Shoulder (PEDS)	Body_Part
Cardiovascular_System_Part	Structure of Cardiovascular System (NRNT)	Body_Part
Thorax	Thorax (PEDS)	Body_Part
Toe	Toe (PEDS)	Body_Part
Vertebral_Column	Vertebral Column (PEDS)	Body_Part
Functional_Bowel_Obstruction	Intestinal Obstruction, Functional (NRNT)	Bowel_Obstruction
Brachial_Plexus_Injury_due_to_Birth_Trauma	Brachial Plexus Palsy due to Birth Trauma (NRNT)	Brachial_Plexopathy
Cerebral_Atrophy	Cerebral Atrophy (NRNT)	Brain_Developmental_Abnormality
Microcephaly	Microcephalus (NRNT)	Brain_Developmental_Abnormality
Pervasive_Developmental_Disorder	Pervasive Developmental Disorder (PEDS)	Brain_Developmental_Abnormality
Tourette_s_Syndrome	Tourette's Syndrome (PEDS)	Brain_Developmental_Abnormality
Behavior-Related_Disorder	Behavioral Disorder (PEDS+NRNT)	Brain_Disorder
Encephalomalacia	Encephalomalacia (NRNT)	Brain_Disorder
Encephalopathy	Encephalopathy (PEDS)	Brain_Disorder
Epilepsy	Epilepsy (PEDS+NRNT)	Brain_Disorder
Hydrocephalus	Hydrocephalus (NRNT)	Brain_Disorder
Intellectual_Disability	Intellectual Disabilities (PEDS)	Brain_Disorder
Severe_Bronchopulmonary_Dysplasia	Severe Bronchopulmonary Dysplasia (NRNT)	Bronchopulmonary_Dysplasia
Crash_Caesarean_Section	Crash Caesarean Section (PEDS)	Caesarian_Section
Emergency_Caesarean_Section	Emergency Caesarean Section (PEDS)	Caesarian_Section
Mucopolysaccharidosis	Mucopolysaccharidosis (NRNT)	Carbohydrate_Metabolism_Disorder
Cardiac_Compression_during_Initial_Resuscitation	Cardiac Compression During Initial Resuscitation (NRNT)	Cardiac_Resuscitation
Dilated_Cardiomyopathy	Dilated Cardiomyopathy (NRNT)	Cardiomyopathy
Aneurysm	Aneurysm (NRNT)	Cardiovascular_Disorder
Cerebrovascular_Disorder	Cerebrovascular Disease (NRNT)	Cardiovascular_Disorder
Heart_Disease	Heart Disease (NRNT)	Cardiovascular_Disorder
Hemorrhage	Hemorrhage (NRNT)	Cardiovascular_Disorder
Hypertension	Hypertensive Disorder (PEDS)	Cardiovascular_Disorder
Pseudoaneurysm	Pseudoaneurysm (NRNT)	Cardiovascular_Disorder
Pulmonary_Artery_Stenosis	Pulmonary Artery Stenosis (NRNT)	Cardiovascular_Disorder
Pulmonary_Embolism	Pulmonary Embolism (NRNT)	Cardiovascular_Disorder
Renal_Vascular_Disorder	Renal Vascular Disorder (NRNT)	Cardiovascular_Disorder
Shock	Shock (NRNT)	Cardiovascular_Disorder
Thrombosis	Thrombosis of Blood Vessel (NRNT)	Cardiovascular_Disorder
Venous_Stenosis	Venous Stenosis (NRNT)	Cardiovascular_Disorder
Heart_Murmur	Heart Murmur (PEDS+NRNT)	Cardiovascular_System_Finding
Hypotension	Low Blood Pressure (NRNT)	Cardiovascular_System_Finding
Great_Blood_Vessel	Structure of Great Blood Vessel (NRNT)	Cardiovascular_System_Part
Acquired_Cataract	Acquired Cataract (NRNT)	Cataract
Bilateral_Cataracts	Bilateral Cataracts (NRNT)	Cataract
Congenital_Cataract	Congenital Cataract (NRNT)	Cataract
Orbital_Cellulitis	Orbital Cellulitis (NRNT)	Cellulitis
Echolalia	Echolalia (PEDS)	Central_Auditory_Processing_Disorder
Brain_Disorder	Brain Disorder (PEDS)	Central_Nervous_System_Disorder
Perinatal_Central_Nervous_System_Depression	Central Nervous System Depression (NRNT)	Central_Nervous_System_Disorder
Neurodegenerative_Disorder	Degenerative Disease of the Central Nervous System (NRNT)	Central_Nervous_System_Disorder
Neuroblastoma	Neuroblastoma (NRNT)	Central_Nervous_System_Disorder
Confusion	Confusion (PEDS)	Central_Nervous_System_Signs_and_Symptoms
Seizure	Seizure (PEDS+NRNT)	Central_Nervous_System_Signs_and_Symptoms
Face_Presentation	Face Presentation (PEDS)	Cephalic_Presentation
Vertex_Presentation	Vertex Presentation (PEDS)	Cephalic_Presentation
Ataxic_Cerebral_Palsy	Ataxic Cerebral Palsy (PEDS)	Cerebral_Palsy
Athetoid_Cerebral_Palsy	Athetoid Cerebral Palsy (PEDS)	Cerebral_Palsy
Mixed_Cerebral_Palsy	Mixed Cerebral Palsy (PEDS)	Cerebral_Palsy
Spastic_Diplegia	Spastic Diplegia (PEDS+NRNT)	Cerebral_Palsy
Intracranial_Hemorrhage	Intracranial Hemorrhage (NRNT)	Cerebrovascular_Disorder
High_Pitched_Cry	High Pitched Cry (PEDS+NRNT)	Change_in_Voice
Blood_Pressure	Blood Pressure (PEDS)	Characteristics
Weight_of_Body	Body Weight (PEDS)	Characteristics
General_Appearance	General Appearance (PEDS)	Characteristics
Heart_Rhythm	Heart Rhythm (PEDS)	Characteristics
Large_for_Gestational_Age	Large for Gestational Age (PEDS)	Characteristics
Length	Length (PEDS)	Characteristics
Modality	Modality (PEDS)	Characteristics
Physical_Symmetry	Physical Symmetry (PEDS)	Characteristics
Sex	Sex (PEDS)	Characteristics
Temperature	Temperature (PEDS)	Characteristics
Infant	Infant (PEDS)	Child_Offspring
Newborn	Newborn (PEDS)	Child_Offspring
Toddler	Toddler (PEDS)	Child_Offspring
Adolescence	Adolescence (PEDS)	Childhood
Early_Childhood	Early Childhood (PEDS)	Childhood
Embryonic_Stage	Embryonic Stage (PEDS)	Childhood
Fetal_Life_Stage	Fetal Stage (PEDS)	Childhood
Infancy	Infant Stage (PEDS)	Childhood
Middle_Childhood	Middle Childhood (PEDS)	Childhood
Full_Term_Neonatal_Stage	Neonatal Stage (PEDS)	Childhood
Toddler_Life_Stage	Toddler Stage (PEDS)	Childhood
Total_Parenteral_Nutrition-Associated_Cholestasis	TPN Acquired Cholestasis (NRNT)	Cholestasis
Complete_Trisomy_13_Syndrome	Complete Trisomy 13 Syndrome (NRNT)	Chromosomal_Aberration
Complete_Trisomy_18_Syndrome	Complete Trisomy 18 Syndrome (NRNT)	Chromosomal_Aberration
Complete_Trisomy_21_Syndrome	Complete Trisomy 21 Syndrome (NRNT)	Chromosomal_Aberration
Down_Syndrome	Down Syndrome (NRNT)	Chromosomal_Aberration
Klinefelter_s_Syndrome	Klinefelter's Syndrome, XXY (NRNT)	Chromosomal_Aberration
Monosomy_13q_Syndrome	Monosomy 13Q Syndrome (NRNT)	Chromosomal_Aberration
Polyploidy	Polyploidy Syndrome (NRNT)	Chromosomal_Aberration
Triploidy_Syndrome	Triploidy Syndrome (NRNT)	Chromosomal_Aberration
Turner_s_Syndrome	Turner Syndrome (NRNT)	Chromosomal_Aberration
Bronchomalacia	Bronchomalacia (NRNT)	Chronic_Lung_Disorder
Pulmonary_Fibrosis	Interstitial Lung Disease (NRNT)	Chronic_Lung_Disorder
Acquired_Chylothorax	Acquired Chylothorax (NRNT)	Chylothorax
Congenital_Chylothorax	Congenital Chylothorax (NRNT)	Chylothorax
Elevated_Test_Result	Elevated Test Result (PEDS)	Clinical_Test_Result
Test_Result	Laboratory Test Result (PEDS)	Clinical_Test_Result
Morphologic_Finding	Morphologically Abnormal Structure (NRNT)	Clinical_Test_Result
Normal_Pupillary_Response	Pupil Reactions Normal (NRNT)	Clinical_Test_Result
Pupils_Equal_Round_and_Reactive_to_Light_and_Accommodation_Result	Pupils Equal Round and Reactive to Light and Accommodation Result (PEDS)	Clinical_Test_Result
Pupils_Equal_Round_and_Reactive_to_Light_Result	Pupils Equal Round and Reactive to Light Result (PEDS+NRNT)	Clinical_Test_Result
Acquired_Coagulation_Factor_Deficiency	Acquired Coagulation Factor Deficiency (NRNT)	Coagulation_Disorder
Antithrombin_III_Deficiency	Antithrombin III Deficiency (NRNT)	Coagulation_Disorder
Coagulation_Disorder_due_to_Liver_Dysfunction	Blood Coagulation Disorder due to Liver Disease (NRNT)	Coagulation_Disorder
Coagulation_Factor_Deficiency	Coagulation Factor Deficiency Syndrome (NRNT)	Coagulation_Disorder
Congenital_Bleeding_Disorder	Congenital Coagulation Defect (PEDS)	Coagulation_Disorder
Disseminated_Intravascular_Coagulation	Disseminated Intravascular Coagulation (NRNT)	Coagulation_Disorder
Coagulative_Necrosis	Ischemic Necrosis (NRNT)	Coagulation_Disorder
High_Molecular_Weight_Kininogen_Deficiency	High Molecular Weight Kininogen Deficiency (NRNT)	Coagulation_Factor_Deficiency
Prekallikrein_Deficiency	Prekallikrein Deficiency (NRNT)	Coagulation_Factor_Deficiency
Vitamin_K_Deficiency	Vitamin K Deficiency Coagulation Disorder (NRNT)	Coagulation_Factor_Deficiency
von_Willebrand_Disease	Von Willebrand Disorder (NRNT)	Coagulation_Factor_Deficiency
Ehlers-Danlos_Syndrome	Ehlers-Danlos Syndrome (NRNT)	COL1A1_Associated_Connective_Tissue_Disorder
Osteogenesis_Imperfecta	Osteogenesis Imperfecta (NRNT)	COL1A1_Associated_Connective_Tissue_Disorder
Coloboma_of_Eyelid	Coloboma of Eyelid (NRNT)	Coloboma_of_the_Eye
Coloboma_of_the_Iris	Coloboma of Iris (NRNT)	Coloboma_of_the_Eye
Congenital_Complete_Atrioventricular_Block	Congenital Complete Atrioventricular Block (NRNT)	Complete_Heart_Block
Pregnancy_Complication	Pregnancy Complication (PEDS+NRNT)	Complication
Anemia_of_Prematurity	Anemia of Prematurity (PEDS+NRNT)	Congenital_Abnormalities_of_Erythrocyte_Differentiation_or_Function
Congenital_Bleeding_Disorder	Congenital Coagulation Defect (PEDS)	Congenital_Abnormalities_of_Erythrocyte_Differentiation_or_Function
Congenital_Methemoglobinemia	Congenital Methemoglobinemia (NRNT)	Congenital_Abnormalities_of_Erythrocyte_Differentiation_or_Function
Hemoglobinopathy	Hemoglobinopathy (NRNT)	Congenital_Abnormalities_of_Erythrocyte_Differentiation_or_Function
Hereditary_Pyropoikilocytosis	Hereditary Pyropoikilocytosis (NRNT)	Congenital_Abnormalities_of_Erythrocyte_Differentiation_or_Function
Congenital_Cardiovascular_Abnormality	Congenital Abnormality of the Circulatory System (PEDS+NRNT)	Congenital_Abnormality
Congenital_Gastrointestinal_Disorder	Congenital Abnormality of the Digestive System (PEDS)	Congenital_Abnormality
Congenital_Genitourinary_Abnormality	Congenital Abnormality of the Genitourinary System (PEDS)	Congenital_Abnormality
Congenital_Musculoskeletal_Defect	Congenital Abnormality of the Musculoskeletal System (PEDS+NRNT)	Congenital_Abnormality
Congenital_Nervous_System_Disorder	Congenital Abnormality of the Nervous System (PEDS+NRNT)	Congenital_Abnormality
Congenital_Reproductive_System_Abnormality	Congenital Abnormality of the Reproductive System (NRNT)	Congenital_Abnormality
Congenital_Respiratory_System_Disorder	Congenital Abnormality of the Respiratory System (PEDS+NRNT)	Congenital_Abnormality
Congenital_Skin_Disorder	Congenital Abnormality of the Skin (PEDS)	Congenital_Abnormality
Congenital_Eye_Disorder	Congenital Abnormality of Visual System (NRNT)	Congenital_Abnormality
Congenital_Adrenal_Hyperplasia	Congenital Adrenal Hyperplasia (NRNT)	Congenital_Abnormality
Hereditary_Connective_Tissue_Disorder	Congenital Connective Tissue Disorder (NRNT)	Congenital_Abnormality
Congenital_Hamartoma	Congenital Hamartoma (NRNT)	Congenital_Abnormality
Congenital_Abnormalities_of_Erythrocyte_Differentiation_or_Function	Congenital Hematological Disorder (PEDS)	Congenital_Abnormality
Hemihypertrophy	Congenital Hemihypertrophy (NRNT)	Congenital_Abnormality
Congenital_Malformation_Syndrome	Congenital Malformation Syndrome (NRNT)	Congenital_Abnormality
