Source	NCIt Subset Code	FDA Subset Name	NCIt Concept Code	FDA Source Code	FDA Source PT	FDA Source Synonym(s)	FDA Source Definition	NCIt Definition	Parent Concept's NCIt Concept Code	Parent Concept's FDA Source Code	Parent Concept's FDA Source PT
FDA	C54450	Patient Problem Codes FDA CDRH	C50460	1703	SHOCK, ANAPHYLACTIC	ANAPHYLACTIC SHOCK|ANAPHYLAXIS	An acute inflammatory reaction resulting from the release of histamine and histamine-like substances from mast cells, causing a hypersensitivity immune response. Clinically, it presents with breathing difficulty, dizziness, hypotension, cyanosis and loss of consciousness, and may lead to death.	An acute inflammatory reaction resulting from the release of histamine and histamine-like substances from mast cells, causing a hypersensitivity immune response. Clinically, it presents with breathing difficulty, dizziness, hypotension, cyanosis and loss of consciousness, and may lead to death.	C35016	2072	SHOCK
FDA	C54450	Patient Problem Codes FDA CDRH	C50410	2218	ANAPHYLACTOID			Resembling anaphylaxis.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2869	1706	ANEMIA			A reduction in the number of red blood cells per cu mm, the amount of hemoglobin in 100 ml of blood, and the volume of packed red blood cells per 100 ml of blood. Clinically, anemia represents a reduction in the oxygen-transporting capacity of a designated volume of blood, resulting from an imbalance between blood loss (through hemorrhage or hemolysis) and blood production. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26693	1708	ANEURYSM			Bulging or ballooning in an area of an artery secondary to arterial wall weakening.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C51221	1710	ANGINA			A heart condition marked by paroxysms of chest pain due to reduced oxygen to the heart.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2876	1711	ANOXIA			Absence or reduction of oxygen in body tissue. (PSY94)	C3890	1918	HYPOXIA
FDA	C54450	Patient Problem Codes FDA CDRH	C26696	2328	ANXIETY			Apprehension of danger and dread accompanied by restlessness, tension, tachycardia, and dyspnea unattached to a clearly identifiable stimulus.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50461	2491	AORTIC DISSECTION	DISSECTION, AORTIC			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C51223	1715	AORTIC INSUFFICIENCY			Dysfunction of the aortic valve, with incomplete valve closure resulting in valvular regurgitation.	C50796	1926	INSUFFICIENCY, VALVULAR
FDA	C54450	Patient Problem Codes FDA CDRH	C50861	1716	AORTIC REGURGITATION		The backward flow of blood from the aorta into the left ventricle, owing to insufficiency of the aortic semilunar valve; it may be chronic or acute.	The backward flow of blood from the aorta into the left ventricle, owing to insufficiency of the aortic semilunar valve; it may be chronic or acute.	C51223	1715	AORTIC INSUFFICIENCY
FDA	C54450	Patient Problem Codes FDA CDRH	C50462	1717	AORTIC STENOSIS		Narrowing of the orifice of the aortic valve or of the supravalvular or subvalvular regions.	Narrowing of the orifice of the aortic valve or of the supravalvular or subvalvular regions.	C62433	2697	VALVULAR STENOSIS
FDA	C54450	Patient Problem Codes FDA CDRH	C50416	1718	APGAR SCORE, DECREASED OR LOW	DECREASED OR LOW APGAR SCORE|LOW OR DECREASED APGAR SCORE|SCORE, DECREASED OR LOW APGAR			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50824	2372	APICECTOMY			Excision of the apex of the petrous portion of the temporal bone.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26698	1720	APNEA	ARREST, RESPIRATORY|RESPIRATORY ARREST	Cessation of breathing.	Transient cessation of respiration.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C27783	2351	FRACTURE, ARM				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50463	2353	HYPOESTHESIA, ARM/HAND		Consisting of abnormally decreased sensitivity, particularly to touch.		C50445	2352	HYPOESTHESIA
FDA	C54450	Patient Problem Codes FDA CDRH	C2881	1721	ARRHYTHMIA			Any variation from the normal rate or rhythm (which may include the origin of the impulse and/or its subsequent propagation) in the heart.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C34398	1722	ARTERIOSCLEROSIS			A vascular disorder characterized by thickening and hardening of the walls of the arteries.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50464	2355	ARTHRALGIA	JOINT PAIN|PAIN, JOINT	Pain in a joint.	Pain in a joint.	C3303	1994	PAIN
FDA	C54450	Patient Problem Codes FDA CDRH	C2883	1723	ARTHRITIS			An inflammatory process affecting a joint. Causes include infection, autoimmune processes, degenerative processes, and trauma. Signs and symptoms may include swelling around the affected joint and pain.	C35760	2373	JOINT DISORDER
FDA	C54450	Patient Problem Codes FDA CDRH	C35760	2373	JOINT DISORDER	DISORDER, JOINT		Any disease of the joints.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2885	2596	ASCITES			Accumulation of fluid in the peritoneal cavity. The fluid may be serous, hemorrhagic, or the result of tumor metastasis to the peritoneum.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50465	1851	ASPHYXIA		A condition due to lack of oxygen in respired air, resulting in impending or actual cessation of life.		C3890	1918	HYPOXIA
FDA	C54450	Patient Problem Codes FDA CDRH	C28397	1726	ASTHMA			A chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C35768	1728	ATHEROSCLEROSIS			Build-up of fatty material and calcium deposition in the arterial wall resulting in partial or complete occlusion of the arterial lumen.	C34398	1722	ARTERIOSCLEROSIS
FDA	C54450	Patient Problem Codes FDA CDRH	C50466	1729	ATRIAL FIBRILLATION		An arrhythmia in which minute areas of the atrial myocardium are in various uncoordinated stages of depolarization and repolarization; instead of intermittently contracting, the atria quiver continuously in a chaotic pattern, causing a totally irregular, often rapid ventricular rate.	A supraventricular arrhythmia characterized by uncoordinated atrial myocardium activation due to multiple reentry circuits with consequent deterioration of atrial mechanical function. Instead of intermittently contracting, the atria quiver continuously in a chaotic pattern, causing a totally irregular, often tachycardia ventricular rate. On the ECG it is described by the replacement of consistent P waves by rapid oscillations or fibrillatory waves that vary in size, shape, and timing, associated with an irregular, frequently rapid ventricular response when atrioventricular conduction is intact.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C51224	1730	ATRIAL FLUTTER			An electrocardiographic finding of an organized rhythmic contraction of the atria which is generally at a rate of 200-300 beats per minute.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50467	2511	ATRIAL PERFORATION				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C35481	1731	ATRIAL TACHYCARDIA			Any rapid heart rhythm originating in the atria. Atrial fibrillation and atrial flutter are varieties of atrial tachycardia.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2889	1732	AUTOIMMUNE DISEASE	DISEASE, AUTOIMMUNE		A disorder resulting from loss of function or tissue destruction of an organ or multiple organs, arising from humoral or cellular immune responses of the individual to his own tissue constituents. It may be systemic (e.g., systemic lupus erythematosus), or organ specific, (e.g., thyroiditis).	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C16313	1733	AUTOIMMUNE REACTION	REACTION, AUTOIMMUNE		A specific humoral or cell-mediated immune response against autologous (self) antigens. An autoimmune process may produce or be caused by autoimmune disease and may be developmentally complex, not necessarily pathological, and possibly pervasive.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2890	1735	INFECTION, BACTERIAL	BACTERIAL INFECTION			C26726	1930	INFECTION
FDA	C54450	Patient Problem Codes FDA CDRH	C50780	2207	TOXEMIA		The condition resulting from the spread of bacterial products (toxins) by the bloodstream.	The condition resulting from the spread of bacterial products (toxins) by the bloodstream.	C2890	1735	INFECTION, BACTERIAL
FDA	C54450	Patient Problem Codes FDA CDRH	C51225	1736	BILIARY CIRRHOSIS	CIRRHOSIS, BILIARY		Cirrhosis of the liver caused either by destruction of the intrahepatic bile ducts (primary biliary cirrhosis) or blockage of the extrahepatic bile ducts (secondary biliary cirrhosis).	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C27083	2101	THROMBUS		An aggregation of blood factors, primarily platelets and fibrin with entrapment of cellular elements, frequently causing vascular obstruction at the point of its formation.	An aggregation of blood factors, primarily platelets and fibrin with entrapment of cellular elements, frequently causing vascular obstruction at the point of its formation.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50470	2597	BLOOD LOSS	LOSS OF BLOOD			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C27123	2137	BLURRED VISION	BLURRING|VISION, BLURRING OF		Blurred vision is the loss of visual acuity (sharpness of vision) resulting in a loss of ability to see small details. (from MedlinePlus Medical Encyclopedia)	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C7941	2682	ALTERATION IN BODY TEMPERATURE				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50472	1803	DEBRIS, BONE SHEDDING	BONE SHEDDING DEBRIS|SHEDDING OF BONE DEBRIS	Shedding of accumulated bone fragments.	Shedding of accumulated bone fragments.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50473	1756	BURN, BOWEL	BOWEL BURN			C34441	1757	BURN(S)
FDA	C54450	Patient Problem Codes FDA CDRH	C37920	1751	BRADYCARDIA	DECREASED HEART RATE|HEART RATE, DECREASED		An abnormally slow heartbeat; as applied in adult medicine, it is generally defined as a heart rate of under 60 beats per minute.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50474	2485	RESPIRATORY RATE, DECREASED	DECREASED RESPIRATORY RATE|RATE OF RESPIRATION, DECREASED		Abnormal decrease of rate of breathing.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50440	2219	BRAIN INJURY	BRAIN DAMAGE|INJURY, BRAIN			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50475	2106	OPTICAL TISSUE, BREAKDOWN OF	TISSUE, BREAKDOWN OF OPTICAL			C34602	1845	EYE INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C4872	1759	CANCER, BREAST	BREAST CANCER		A carcinoma arising from the breast, most commonly the terminal ductal-lobular unit. It is the most common malignant tumor in females. Risk factors include country of birth, family history, menstrual and reproductive history, fibrocystic disease and epithelial hyperplasia, exogenous estrogens, contraceptive agents, and ionizing radiation. The vast majority of breast carcinomas are adenocarcinomas (ductal or lobular). Breast carcinoma spreads by direct invasion, by the lymphatic route, and by the blood vessel route. The most common site of lymph node involvement is the axilla.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3197	2439	BREAST LUMPS	LUMPS, BREAST		A mass in the mammary gland, either mobile or immobile. Once the mass has reached the size of a small garden pea, it can be detected by palpation. With mammography a larger number of early breast cancers are being detected since this techniques allows detection prior to the point at which the mass can be felt. Breast masses are not always malignant. Benign fibrocystic breast disease is not uncommon. A fine needle biopsy aspiration can distinguish a cystic mass from a solid one.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2910	2438	BREAST NEOPLASM	NEOPLASM, BREAST		A benign or malignant neoplasm of the breast parenchyma. It can originate from the ducts, lobules or the breast adipose tissue. Breast neoplasms are much more common in females than males.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2911	1752	BRONCHITIS			An acute or chronic inflammatory process affecting the bronchi.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26710	2437	BRONCHOPNEUMONIA				C3333	2011	PNEUMONIA
FDA	C54450	Patient Problem Codes FDA CDRH	C34439	2598	BRONCHOSPASM			Sudden contraction of the smooth muscles of the bronchial wall.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C37921	1754	BRUISE			Injury of the soft tissues or bone without breaking the skin, as by a blow.	C3671	2348	INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C34441	1757	BURN(S)		Injury to tissues caused by contact with dry heat, moist heat, flames, chemicals, electricity, friction or radiant and electromagnetic energy. A first degree burn is associated with redness, a second degree burn with vesication and a third degree burn with necrosis through the entire skin.	A traumatic injury involving interruption of tissue cohesiveness that results from exposure to caustic chemicals, extreme heat, extreme cold or excessive radiation.	C3671	2348	INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C61390	3161	LEAD(S), BURN(S) FROM				C34441	1757	BURN(S)
FDA	C54450	Patient Problem Codes FDA CDRH	C50476	2146	BURNING SENSATION	SENSATION, BURNING		A sensation of stinging or heat, not necessarily accompanied by redness or physical signs of irritation.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3672	1758	CALCIFICATION	CALCIUM DEPOSIT(S)|DEPOSIT(S), CALCIUM		Deposition of calcium in the tissues. It may be the result of a metabolic disorder or long-standing infection, or it may be associated with the presence of cancer.	C9442	1809	DEPOSITS
FDA	C54450	Patient Problem Codes FDA CDRH	C50477	1760	CANCER, OTHER				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50478	1761	CAPSULAR CONTRACTURE		The tightening of scar tissue that forms around the implant.	The tightening of scar tissue that forms around the implant.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50479	1762	CARDIAC ARREST	ARREST, CARDIAC|ASYSTOLE	Sudden cessation of the pumping function of the heart, with disappearance of arterial blood pressure, connoting either ventricular fibrillation or ventricular standstill.	Sudden cessation of the pumping function of the heart, with disappearance of arterial blood pressure, connoting either ventricular fibrillation or ventricular standstill.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50480	1838	ENZYME ELEVATION, CARDIAC	CARDIAC ENZYME ELEVATION|ELEVATION OF CARDIAC ENZYMES			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C73502	2513	CARDIAC PERFORATION				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50481	2226	CARDIAC TAMPONADE		Acute compression of the heart caused by increased intrapericardial pressure due to the collection of blood or fluid in the pericardium from rupture of the heart, penetrating trauma, or progressive effusion.	Acute compression of the heart caused by increased intrapericardial pressure due to the collection of blood or fluid in the pericardium from rupture of the heart, penetrating trauma, or progressive effusion.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50482	2262	SHOCK, CARDIOGENIC	CARDIOGENIC SHOCK	Shock resulting from primary failure of the heart in its pumping function, as in myocardial infarction, severe cardiomyopathy, or mechanical obstruction or compression of the heart.	Shock resulting from primary failure of the heart in its pumping function, as in myocardial infarction, severe cardiomyopathy, or mechanical obstruction or compression of the heart.	C35016	2072	SHOCK
FDA	C54450	Patient Problem Codes FDA CDRH	C34830	1764	CARDIOMYOPATHY			A disease of the heart muscle or myocardium proper. Cardiomyopathies may be classified as either primary or secondary, on the basis of etiology, or on the pathophysiology of the lesion: hypertrophic, dilated, or restrictive.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50483	1765	CARDIOPULMONARY ARREST	ARREST, CARDIOPULMONARY	Cessation of breathing and/or cardiac function.	Cessation of breathing and/or cardiac function.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26713	1766	CATARACT			Partial or complete opacity of the crystalline lens of one or both eyes that decreases visual acuity and eventually results in blindness. Some cataracts appear in infancy or in childhood, but most develop in older individuals. (Sternberg Diagnostic Surgical Pathology, 3rd ed.)	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C26715	1768	CELLULITIS				C2890	1735	INFECTION, BACTERIAL
FDA	C54450	Patient Problem Codes FDA CDRH	C34455	2228	CLOUDING, CENTRAL CORNEAL	CENTRAL CORNEAL CLOUDING|CORNEAL CLOUDING, CENTRAL	Diffuse edema of the central region of the cornea, usually associated with the wearing of hard contact lenses, but may also occur in keratoconus.		C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50484	2599	CEPHALOHEMATOMA		A subperiosteal hemorrhage limited to the surface of one cranial bone, a usually benign condition seen in the newborn as a result of bone trauma.	A subperiosteal hemorrhage limited to the surface of one cranial bone, a usually benign condition seen in the newborn as a result of bone trauma.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50485	1889	HEMORRHAGE, CEREBRAL	BLEEDING, CEREBRAL|CEREBRAL BLEEDING|CEREBRAL HEMORRHAGE	Bleeding within the cerebrum.	Bleeding within the cerebrum.	C50438	1891	INTRACRANIAL HEMORRHAGE
FDA	C54450	Patient Problem Codes FDA CDRH	C50486	1771	INFARCTION, CEREBRAL	CEREBRAL, INFARCTION	An ischemic condition of the brain, producing a persistent focal neurological deficit in the area of distribution of the cerebral arteries.	An ischemic condition of the brain, producing a persistent focal neurological deficit in the area of distribution of the cerebral arteries.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50487	1772	CEREBROSPINAL FLUID LEAKAGE	FLUID, LEAKAGE OF CEREBROSPINAL|LEAKAGE OF CEREBROSPINAL FLUID		The loss of cerebrospinal fluid into the surrounding tissues.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3390	1770	CEREBROVASCULAR ACCIDENT	CEREBROVASCULAR ACCIDENT, (CVA)|CVA, CEREBROVASCULAR ACCIDENT|STROKE SYNDROME|STROKE|SYNDROME, STROKE		A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50488	1773	CERVICAL CHANGES	CERVICAL CHANGE|CHANGES, CERVICAL	Changes such as abnormal, pathological, benign, malignant, etc.		C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50489	1831	EMOTIONAL CHANGES	CHANGES, EMOTIONAL			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C34442	2549	CAUSTIC/CHEMICAL BURNS	BURN, CAUSTIC/CHEMICAL|CHEMICAL/CAUSTIC BURN		A burn caused by exposure to chemical substances.	C34441	1757	BURN(S)
FDA	C54450	Patient Problem Codes FDA CDRH	C36290	2570	CHEMICAL EXPOSURE	EXPOSURE, CHEMICAL			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50490	1775	CHEMOSIS		Excessive edema of the ocular conjunctiva.	Edema of the mucous membrane of the eyeball and eyelid lining.	C3002	1820	EDEMA
FDA	C54450	Patient Problem Codes FDA CDRH	C38665	1776	CHEST PAIN	PAIN IN CHEST		Pain in the chest.	C3303	1994	PAIN
FDA	C54450	Patient Problem Codes FDA CDRH	C50491	2463	CHEST TIGHTNESS/PRESSURE	PRESSURE/TIGHTNESS IN CHEST|TIGHTNESS/PRESSURE IN CHEST			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
